aoa,cl,ma,re
14.86570598,1.4686707,0.144742342,290364.4856
14.74891144,1.6171416,0.14314648,323502.0087
16.43388937,1.5642057,0.145691661,320133.1229
9.313253219,1.2767698,0.141533833,259762.7254
17.94219066,1.5851243,0.144470841,432569.3922
19.52956715,1.4221226,0.143214855,306002.1196
2.043457374,0.61274336,0.145936862,244079.1577
13.13071164,1.5173109,0.143275033,236862.7648
18.12893568,1.4261491,0.148488199,276536.5819
18.36043591,1.5369071,0.14330669,357494.0223
16.7003814,1.3709078,0.145435641,205520.8213
15.0965519,1.4299727,0.145881806,274560.848
16.13712908,1.5318088,0.144946009,291391.147
17.57642956,1.4592454,0.146800809,348213.726
1.094198868,0.51496401,0.148040361,373264.169
14.59461549,1.5265606,0.146333212,310580.0555
10.30891118,1.2965397,0.142612899,265822.979
12.40641422,1.4720106,0.148001032,278364.2803
19.53352935,1.39249,0.147999885,288043.3372
19.09727261,1.6281912,0.143695622,327867.9589
19.5672335,1.5016606,0.144069834,289145.0163
12.45877552,1.3934831,0.145476999,210801.6461
15.39393344,1.5991004,0.148135486,431556.2019
14.83739725,1.5047255,0.145838602,376367.2963
13.85280015,1.4886253,0.146835051,345624.1784
17.34222454,1.5336265,0.142806476,418373.5694
15.19906149,1.5306246,0.14424462,307354.3848
19.27133303,1.4218916,0.147396103,254212.8675
17.10517389,1.5711912,0.146221866,361750.8959
1.633826046,0.58282303,0.143716305,358974.6814
16.53630462,1.4698153,0.144052283,383151.5068
13.44786377,1.48434,0.141786026,368508.1257
18.92568683,1.4785157,0.149264804,380272.4643
16.15356102,1.485838,0.149114247,373912.7965
14.46252461,1.5091386,0.142004295,367351.5115
17.25643871,1.5608494,0.147470066,272472.4052
17.59867888,1.5391904,0.149214432,304662.1665
15.18518187,1.4270745,0.142310091,235612.471
12.35767906,1.3783954,0.14739835,298986.4181
15.53612583,1.5123922,0.145062987,256334.4056
1.545139381,0.56227495,0.144383105,376503.2813
16.68295487,1.6420171,0.144422361,205939.8587
19.21724583,1.448668,0.141194973,360411.3028
15.44349751,1.6326678,0.141149802,427751.3706
13.93820541,1.5752742,0.14119402,269112.6917
19.14097622,1.3878479,0.143366859,311057.5833
14.50966707,1.5225178,0.146651017,220295.4812
10.7364713,1.300687,0.148585988,270301.8599
15.49744214,1.5560263,0.141939967,221085.2856
12.85678886,1.3918703,0.142348672,311693.7906
19.07051264,1.335525,0.147482373,259386.9167
16.70699613,1.2995627,0.145597262,267479.3782
13.11746507,1.4475461,0.142665069,339983.4821
15.45042657,1.6148862,0.141389939,392428.0771
16.30596172,1.4537393,0.147351357,383276.9749
14.15812533,1.5189369,0.146936459,397848.9868
4.807817334,0.84464462,0.148263197,265084.0904
15.86499986,1.5802379,0.144863521,414810.5946
19.28379915,1.2199172,0.145248727,258146.6555
0.346876513,0.41924606,0.144766651,252657.834
18.88425612,1.6040761,0.144493571,410695.8649
16.86608103,1.5250239,0.147802805,319424.6961
18.49621552,1.2625645,0.141265591,284699.7794
6.597952168,1.048944,0.141616864,247464.2392
15.03844623,1.6452056,0.149323617,358805.8675
16.2970657,1.5571805,0.141381384,370419.9375
13.27581762,1.533067,0.14634737,278772.6522
13.36128596,1.5468044,0.145008236,285560.1527
12.62826056,1.4095895,0.147421611,272410.4054
15.85344873,1.6097914,0.146908416,289324.9614
6.64373551,1.0076066,0.144764056,280929.3121
13.27037406,1.4463297,0.147263222,281060.0905
16.34729926,1.3212305,0.147733856,231045.0034
18.27940673,1.4323208,0.145806298,384201.079
0.122981188,0.40288777,0.149341754,338975.2579
15.3969498,1.4460926,0.144605446,266340.1261
13.90080218,1.5719515,0.14522264,335413.8647
12.97930054,1.4970522,0.146998303,305280.8139
12.43602826,1.4535265,0.148279439,408377.0424
12.49912692,1.4109475,0.14324108,234464.225
12.42852706,1.4298849,0.148374849,394665.9201
16.70828818,1.5759695,0.141613384,265427.5951
16.81968928,1.5657178,0.142052422,386025.3771
17.71522269,1.4502076,0.145139205,317469.4078
18.80560972,1.2641703,0.144186865,260662.7895
15.10794357,1.5545719,0.145277905,331805.7327
19.50370145,1.2619958,0.147525601,279024.4231
14.67946175,1.6304256,0.143056089,257741.1618
17.44298304,1.6158175,0.142656524,430698.4136
0.162312017,0.4312159,0.148171408,309098.0559
17.70478292,1.6113831,0.147912265,368547.9755
4.508364979,0.85229016,0.142188827,276234.2114
14.66814682,1.6361286,0.147303118,319086.4378
15.51582652,1.4714939,0.148731353,385321.9211
17.02493901,1.5165692,0.143050266,320709.4758
17.43301244,1.5566699,0.145303341,379136.1266
15.64804337,1.6077439,0.14497616,348076.9103
13.77330759,1.5287711,0.143566499,308956.1373
13.19869558,1.4967614,0.146004862,273317.2432
19.69117628,1.3588292,0.146889917,412062.141
14.42166592,1.4912756,0.145844086,297051.8658
18.77732545,1.4017826,0.144093069,339499.0581
19.50506368,1.3742775,0.14628419,340872.0246
15.73096738,1.5690223,0.147430505,334324.893
14.89046502,1.5268941,0.149377371,427250.549
2.168847252,0.6111936,0.142912124,263367.0565
12.74741326,1.3749058,0.147019031,226866.1833
9.086760289,1.2685921,0.147714103,405159.6279
18.11445973,1.5626325,0.145206077,404269.7858
18.78799655,1.4234127,0.144483826,370358.6789
14.39087503,1.6318774,0.142586722,433883.4033
12.53783707,1.443769,0.148959866,228249.2612
13.8717044,1.5572373,0.1411376,344312.5465
